appid,playtime_forever,playtime_2weeks,steam_account_ids,name,img_icon_url,has_community_visible_stats,capsule_filename,has_workshop,has_market,has_dlc,content_descriptorids,has_leaderboards,sort_as,playtime_hours
769920,0,0.0,"76561198116491768, 76561198120249474",Odysseus Kosmos and his Robot Quest - Episode 1,ca1193ab54d637332905483eeda582f030d8c54d,True,portrait.png,False,False,True,,,,0.0
305050,335,0.0,76561198116491768,Outland,bdfa511693bd167835fb1d32331f0a579dcdb9a5,True,library_600x900.jpg,False,False,True,,,,5.58
238320,196,0.0,76561198116491768,Outlast,46bd3df92d4693d3b2af113bf8f31c2cbdadb20a,True,library_600x900.jpg,False,False,True,"[1, 2, 5]",,,3.27
218620,559,0.0,76561198116491768,PAYDAY 2,a6abc0d0c1e79c0b5b0f5c8ab81ce9076a542414,True,library_600x900.jpg,True,True,True,"[2, 5]",,,9.32
232770,0,0.0,76561199483779798,POSTAL,cc74f7112ea3820e6f08eb580a03d7b37325e51c,True,library_600x900.jpg,False,False,True,"[2, 5]",,,0.0
418670,0,0.0,76561199483779798,Pankapu,646b618afcddf400428cb3e77034be3eb1bbbf80,True,library_600x900.jpg,False,False,True,,True,,0.0
289440,310,0.0,76561198116491768,Perimeter,d9b05c8511fdaa4500e6678d9caac5475996566f,,library_600x900.jpg,False,False,False,,,,5.17
490220,506,0.0,"76561198116491768, 76561198120249474",Prismata,e7987181036cc593e3ffcdf2cd28a9211c7623ce,True,library_600x900.jpg,False,False,True,,,,8.43
3830,651,0.0,76561198116491768,Psychonauts,460b6471db7d83ee6943c1a87f7a9f2898634952,True,library_600x900.jpg,False,False,True,,,,10.85
611500,0,0.0,76561198120249474,Quake Champions,539032fb1e8b41d0a48ff11bf63bfe7918ace24c,True,library_600x900.jpg,False,False,True,"[2, 5]",,,0.0
282440,19,0.0,"76561198116491768, 76561198120249474",Quake Live,bac9828d3e193c948801b14660490576fbbf9f72,True,library_600x900.jpg,True,False,True,"[2, 5]",,,0.32
304890,26,0.0,76561198116491768,Quantum Rush Online,bb498d997c764d0a811571ab3668aa29bc8f6625,,portrait.png,False,False,False,,,,0.43
289460,0,0.0,76561198116491768,RC Cars,c935f15ed63a1f423d89d4250de8b702f40510ff,,library_600x900.jpg,False,False,False,,,,0.0
235900,0,0.0,76561199483779798,RPG Maker XP,d4fae8dbf49b2d8fda0aa9d74323529e41d200a2,,portrait.png,False,False,True,,,,0.0
99300,0,0.0,76561198120249474,Renegade Ops,def6f08f177180ab15bbf7c90ba8d323159ecd7d,True,library_600x900.jpg,False,False,True,,,,0.0
295550,26,0.0,76561198116491768,Royal Quest,59b34a7185403482b6316838856663ef445dc59e,True,portrait.png,False,False,True,,,,0.43
449680,292,0.0,76561198116491768,SAMOLIOTIK,8d660ffda9bbbea23afe83b2e14077035144a210,True,portrait.png,False,False,True,,,,4.87
34270,3697,0.0,76561198120249474,SEGA Mega Drive & Genesis Classics,2cda9462fbaf9309e5aedce99ad8452adf8a40bd,True,library_600x900.jpg,True,False,True,,,,61.62
9480,1,0.0,76561198116491768,Saints Row 2,1a0aef912300d396a67f9eda9d8b4e66c41c9891,,library_600x900.jpg,False,False,False,"[1, 2, 5]",,,0.02
210770,197,0.0,76561198116491768,Sanctum 2,4cdfa1d19be460374a111b718ce3a204f21ea1dc,True,library_600x900.jpg,False,False,True,,True,,3.28
233130,1280,0.0,"76561198116491768, 76561198120249474",Shadow Warrior,5d7c205ce18f17a99c95ff81499c2f496e0570f2,True,library_600x900.jpg,False,False,True,"[2, 5]",,,21.33
3910,0,0.0,76561198116491768,Sid Meier's Civilization III: Complete,9cc953317dabd7b8e39690472872b37104b5e625,,library_600x900.jpg,False,False,False,,,,0.0
63380,4149,0.0,76561198120249474,Sniper Elite V2,0092da2541424d4c1d10c1757dcb8104c37323ac,True,library_600x900.jpg,False,False,True,,True,Sniper Elite 2,69.15
547960,228,0.0,76561198116491768,Space Beret,0753aaaeae7ff9dd2c0b550b434d96c1e530de8e,True,portrait.png,False,False,False,,,,3.8
1176710,0,0.0,76561199483779798,Space Crew: Legendary Edition,c1c0a0c7c7dae3525bc6a4bb07bc0bd69bc62ab0,True,library_600x900.jpg,False,False,True,,,,0.0
50300,0,0.0,76561198116491768,Spec Ops: The Line,55ae859a90d61c08f18ed3aa0ee2579169d2c2bf,True,library_600x900.jpg,False,False,True,,,,0.0
236150,289,0.0,76561198116491768,Starpoint Gemini 2,4a5235626d7fe3fa433c7b47a55de7013774be1d,True,library_600x900.jpg,True,False,True,,,,4.82
439190,268,0.0,76561198120249474,Stories: The Path of Destinies,ed3383f9deed7e41515d34e544a67258fcf91c23,True,library_600x900.jpg,False,False,True,,,,4.47
252850,609,0.0,76561198120249474,Streamline,8c7695a2e6017605e704a52c630090349f344ae2,True,portrait.png,False,False,True,,,,10.15
65930,362,0.0,76561198116491768,The Bureau: XCOM Declassified,854f133d072a65e5577c2a21bf25ba863e4a6a23,True,library_600x900.jpg,False,False,True,,,,6.03
67370,1,0.0,"76561198116491768, 76561198120249474",The Darkness II,6ca6291fe216a8cc5c56f01b1e7f83e396a8fa81,True,library_600x900.jpg,False,False,True,,,,0.02
312990,20,0.0,"76561198116491768, 76561198120249474",The Expendabros,63305a7d0473b92c6d8830a3f62527e64c479e7c,,portrait.png,False,False,False,,,,0.33
1053710,0,0.0,"76561199483779798, 76561198116491768",The Red Lantern,0efc0c5e80b66389d33981aceaf67b7309b4baec,True,library_600x900.jpg,False,False,False,[5],,,0.0
265590,535,0.0,"76561198116491768, 76561198120249474",The Red Solstice,cc33fb26c140d04a20fb0fd5f549454458122322,True,library_600x900.jpg,False,False,True,"[2, 5]",True,,8.92
96000,33,0.0,76561198120249474,The Tiny Bang Story,190760c7966fda0b4be9605de836e031f448fc49,,library_600x900.jpg,False,False,True,,,,0.55
279640,36,0.0,76561198116491768,The Troma Project,7af68672dbfcb5f3d9f192f15bd5e6756f76179c,,library_600x900.jpg,False,False,False,[5],,,0.6
207610,569,0.0,76561198116491768,The Walking Dead,87a13ae0a2a76488792924aa8bb0dd8a7760f931,True,library_600x900.jpg,False,False,True,"[2, 5]",,,9.48
1712840,0,0.0,"76561199483779798, 76561198120249474",Tiny Tina's Assault on Dragon Keep: A Wonderlands One-shot Adventure,244954d1c6b9516a6a14c534ad0162b36cd7cbe8,True,library_600x900.jpg,False,False,False,,,,0.0
263680,355,0.0,76561198116491768,Unearthed: Trail of Ibn Battuta - Episode 1 - Gold Edition,fb23d89c1652af5e3ca9c78e1582d2100b87a007,True,portrait.png,False,False,False,,,,5.92
304930,0,0.0,"76561198116491768, 76561198120249474",Unturned,e18009fb628b35953826efe47dc3be556b689f4c,True,dd10c2c5dde22c3044c3cf1dcc17df8739e83dff/library_capsule.jpg,True,True,True,,,,0.0
307290,38,0.0,76561198116491768,Velvet Sundown,204929769d9e85084fb11d1df399d5648a1d1ec9,,portrait.png,False,False,True,,,,0.63
255520,0,0.0,"76561198116491768, 76561198120249474",Viscera Cleanup Detail: Shadow Warrior,56c3840d52a0da4f397d9991d368c75ed53d99fa,True,library_600x900.jpg,False,False,False,"[2, 5]",,,0.0
251950,0,0.0,76561198120249474,WWII Online,ba388f11c3ce3560bbd99df5b47ccf600777ac3a,,f0d3f523c9f2b18bbd9a2426d43c2a561c922c8f/library_600x900.jpg,False,False,True,"[2, 5]",,,0.0
489630,0,0.0,"76561199483779798, 76561198116491768","Warhammer 40,000: Gladius - Relics of War",ba6ea4fbeec62073763e103450e8aa7c5373d010,True,bb5aa1e802ad6e657f5b0bea50c817fbbdd59e41/library_capsule.jpg,True,False,True,,,,0.0
55150,33,0.0,76561198120249474,"Warhammer 40,000: Space Marine - Anniversary Edition",46b0ce6e587472d1d56cc88dd32c8b57392f8b10,True,library_600x900.jpg,False,False,True,"[2, 5]",,,0.55
552500,0,0.0,76561199483779798,Warhammer: Vermintide 2,a671f2ddf7359beba9702ac097baf6d50cb07202,True,54a7de937ef37ebae81b1f89c0122953b23355c9/library_capsule.jpg,True,False,True,"[2, 5]",,,0.0
1134700,0,0.0,"76561199483779798, 76561198116491768",Wild Terra 2: New Lands,8594527d19edbfdb2ded666dd09573f4542c282f,True,library_600x900.jpg,False,False,True,,,,0.0
270550,268,0.0,76561198116491768,Yet Another Zombie Defense,d9414db164fa12a1e2cb83a60056dccc77ea3f38,True,library_600x900.jpg,False,False,False,"[2, 5]",True,,4.47
416030,306,0.0,76561198116491768,Your Quest,9ea9f6e04eb0b5ea8fa452e848efebe10053709f,,portrait.png,False,False,True,,,,5.1
